label,x,y
Fc5,-0.278155156,0.11238197800000001
Fc3,-0.189659563,0.1095
Fc1,-0.093678285,0.104040276
Fcz,0.0,0.10099999999999999
Fc2,0.093678285,0.104040276
Fc4,0.189659563,0.1095
Fc6,0.278155156,0.11238197800000001
C5,-0.304,1.86223e-17
C3,-0.203,1.2435299999999999e-17
C1,-0.101,6.187e-18
Cz,0.0,0.0
C2,0.101,6.187e-18
C4,0.203,1.2435299999999999e-17
C6,0.304,1.86223e-17
Cp5,-0.278155156,-0.11238197800000001
Cp3,-0.189659563,-0.1095
Cp1,-0.093678285,-0.104040276
Cpz,1.2374e-17,-0.10099999999999999
Cp2,0.093678285,-0.104040276
Cp4,0.189659563,-0.1095
Cp6,0.278155156,-0.11238197800000001
Fp1,-0.1254609,0.38612894600000003
Fpz,0.0,0.406
Fp2,0.1254609,0.38612894600000003
Af7,-0.238640812,0.32846090000000006
Af3,-0.13402077699999998,0.315733165
Afz,0.0,0.304
Af4,0.13402077699999998,0.315733165
Af8,0.238640812,0.32846090000000006
F7,-0.3284609000000001,0.23864081199999998
F5,-0.261120348,0.25216098800000003
F3,-0.15773352,0.22526681199999998
F1,-0.078482581,0.20445411300000002
Fz,0.0,0.203
F2,0.078482581,0.20445411300000002
F4,0.15773352,0.22526681199999998
F6,0.261120348,0.25216098800000003
F8,0.3284609000000001,0.23864081199999998
Ft7,-0.386128946,0.1254609
Ft8,0.386128946,0.1254609
T7,-0.406,2.48705e-17
T8,0.406,2.48705e-17
T9,-0.499,3.05675e-17
T10,0.499,3.05675e-17
Tp7,-0.386128946,-0.1254609
Tp8,0.386128946,-0.1254609
P7,-0.3284609000000001,-0.23864081199999998
P5,-0.246733552,-0.23826782100000002
P3,-0.15773352,-0.22526681199999998
P1,-0.078482581,-0.20445411300000002
Pz,2.21752e-17,-0.18100000000000002
P2,0.078482581,-0.20445411300000002
P4,0.15773352,-0.22526681199999998
P6,0.246733552,-0.23826782100000002
P8,0.3284609000000001,-0.23864081199999998
Po7,-0.238640812,-0.32846090000000006
Po3,-0.13402077699999998,-0.315733165
Poz,3.72445e-17,-0.304
Po4,0.13402077699999998,-0.315733165
Po8,0.238640812,-0.32846090000000006
O1,-0.1254609,-0.38612894600000003
Oz,4.9741e-17,-0.406
O2,0.1254609,-0.38612894600000003
Iz,6.11349e-17,-0.499
